Num_Acc,annee,dep,lat,long,lum,atm,col,circ,nbv,prof,surf,infra,situ,vma,catv,mois,jour,target
202000000629,2020,69,45.69162,4.98782,3.0,1.0,5.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,23.0,0
202000000629,2020,69,45.69162,4.98782,3.0,1.0,5.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,23.0,1
202000000629,2020,69,45.69162,4.98782,3.0,1.0,5.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,23.0,0
202000000629,2020,69,45.69162,4.98782,3.0,1.0,5.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,23.0,1
202000000629,2020,69,45.69162,4.98782,3.0,1.0,5.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,23.0,1
202000000629,2020,69,45.69162,4.98782,3.0,1.0,5.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,23.0,0
202000000633,2020,93,48.91939,2.35755,2.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,24.0,1
202000000633,2020,93,48.91939,2.35755,2.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,24.0,1
202000000633,2020,93,48.91939,2.35755,2.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,24.0,1
202000000633,2020,93,48.91939,2.35755,2.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,24.0,0
202000000633,2020,93,48.91939,2.35755,2.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,24.0,0
202000000633,2020,93,48.91939,2.35755,2.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,24.0,0
202000000633,2020,93,48.91939,2.35755,2.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,24.0,0
202000000633,2020,93,48.91939,2.35755,2.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,24.0,0
202000000636,2020,93,48.92278,2.3478,3.0,1.0,6.0,3.0,7.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,24.0,1
202000000636,2020,93,48.92278,2.3478,3.0,1.0,6.0,3.0,7.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,24.0,1
202000000636,2020,93,48.92278,2.3478,3.0,1.0,6.0,3.0,7.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,24.0,1
202000000636,2020,93,48.92278,2.3478,3.0,1.0,6.0,3.0,7.0,1.0,1.0,0.0,1.0,90.0,7.0,8.0,24.0,0
202000000637,2020,93,48.90709,2.45584,1.0,1.0,3.0,3.0,9.0,1.0,1.0,3.0,1.0,90.0,7.0,8.0,24.0,1
202000000637,2020,93,48.90709,2.45584,1.0,1.0,3.0,3.0,9.0,1.0,1.0,3.0,1.0,90.0,7.0,8.0,24.0,1
202000000638,2020,57,49.185761,6.176462,3.0,1.0,5.0,3.0,6.0,1.0,1.0,0.0,1.0,110.0,7.0,1.0,19.0,1
202000000638,2020,57,49.185761,6.176462,3.0,1.0,5.0,3.0,6.0,1.0,1.0,0.0,1.0,110.0,7.0,1.0,19.0,1
202000000638,2020,57,49.185761,6.176462,3.0,1.0,5.0,3.0,6.0,1.0,1.0,0.0,1.0,110.0,7.0,1.0,19.0,1
202000000638,2020,57,49.185761,6.176462,3.0,1.0,5.0,3.0,6.0,1.0,1.0,0.0,1.0,110.0,7.0,1.0,19.0,0
202000000638,2020,57,49.185761,6.176462,3.0,1.0,5.0,3.0,6.0,1.0,1.0,0.0,1.0,110.0,7.0,1.0,19.0,1
202000000638,2020,57,49.185761,6.176462,3.0,1.0,5.0,3.0,6.0,1.0,1.0,0.0,1.0,110.0,7.0,1.0,19.0,0
202000000638,2020,57,49.185761,6.176462,3.0,1.0,5.0,3.0,6.0,1.0,1.0,0.0,1.0,110.0,7.0,1.0,19.0,0
202000000638,2020,57,49.185761,6.176462,3.0,1.0,5.0,3.0,6.0,1.0,1.0,0.0,1.0,110.0,7.0,1.0,19.0,0
